"Name","Year","Game","Minute"
"manu-ginobili-1","1999",30,917
"manu-ginobili-1","2000",22,653
"manu-ginobili-1","2000",34,981
"manu-ginobili-1","2001",22,627
"manu-ginobili-1","2001",36,1163
"jiri-welsch-1","2000",15,254
"jiri-welsch-1","2001",20,622
"nikoloz-tskitishvili-1","2001",6,36
"nikoloz-tskitishvili-1","2001",11,140
"marko-jaric-1","1998",25,587
"marko-jaric-1","1999",26,627
"marko-jaric-1","2000",22,631
"marko-jaric-1","2000",33,971
"marko-jaric-1","2001",33,987
"marko-jaric-1","2001",21,592
"bostjan-nachbar-1","2000",12,108
"bostjan-nachbar-1","2000",30,329
"bostjan-nachbar-1","2001",21,533
"bostjan-nachbar-1","2001",35,863
"paul-shirley-1","2001",20,402
"paul-shirley-1","2002",1,29
"paul-shirley-1","2002",8,172
"andres-nocioni-1","1999",8,84
"andres-nocioni-1","2001",20,410
"andres-nocioni-1","2001",33,768
"andres-nocioni-1","2002",19,553
"andres-nocioni-1","2002",34,1036
"andres-nocioni-1","2003",16,413
"andres-nocioni-1","2003",29,880
"francisco-garcia-1","1988",3,19
"francisco-garcia-1","1992",7,28
"francisco-garcia-1","1993",12,68
"pat-burke-1","1997",34,848
"pat-burke-1","2001",26,805
"pat-burke-1","2003",20,407
"pat-burke-1","2003",7,175
"pat-burke-1","2003",13,298
"pat-burke-1","2004",19,325
"pat-burke-1","2004",31,589
"maceo-baston-1","2000",32,963
"maceo-baston-1","2001",34,1032
"maceo-baston-1","2002",9,257
"maceo-baston-1","2002",16,478
"maceo-baston-1","2003",21,502
"maceo-baston-1","2004",24,566
"maceo-baston-1","2005",25,608
"guillermo-diaz-1","2006",5,120
"patty-mills-1","2009",6,160
"vitor-faverani-1","2006",2,9
"vitor-faverani-1","2008",7,55
"vitor-faverani-1","2008",2,13
"vitor-faverani-1","2009",27,410
"vitor-faverani-1","2011",9,151
"vitor-faverani-1","2011",28,432
"vitor-faverani-1","2012",20,335
"vitor-faverani-1","2012",9,124
"nicolas-laprovittola-1","2013",4,77
"nicolas-laprovittola-1","2015",20,580
"nicolas-laprovittola-1","2015",10,274
