"","X1","X2","X3","X4"
"1",2422,"John","Salmons",2003
"2",2418,"Casey","Jacobsen",2003
"3",2456,"Cezary","Trybanski",2003
"4",2416,"Kareem","Rush",2003
"5",2457,"Jannero","Pargo",2003
"6",2412,"Jiri","Welsch",2003
"7",1921,"Gordan","Giricek",2003
"8",2400,"Drew","Gooden",2003
"9",2421,"Frank","Williams",2003
"10",2246,"Mehmet","Okur",2003
"11",2419,"Tayshaun","Prince",2003
"12",2407,"Jared","Jeffries",2003
"13",2413,"Juan","Dixon",2003
"14",2427,"Roger","Mason",2003
"15",2437,"Lonny","Baxter",2003
"16",2401,"Nikoloz","Tskitishvili",2003
"17",2399,"Mike","Dunleavy",2003
"18",2430,"Carlos","Boozer",2003
"19",2060,"Marko","Jaric",2003
"20",2404,"Chris","Wilcox",2003
"21",2436,"Ronald","Murray",2003
"22",2411,"Bostjan","Nachbar",2003
"23",2408,"Melvin","Ely",2003
"24",2409,"Marcus","Haislip",2003
"25",2403,"Nene","Hilario",2003
"26",2417,"Qyntel","Woods",2003
"27",2397,"Ming","Yao",2003
"28",2429,"Dan","Gadzuric",2003
"29",1938,"Manu","Ginobili",2003
"30",2410,"Fred","Jones",2003
"31",2447,"Tamar","Slay",2003
"32",2406,"Caron","Butler",2003
"33",2484,"Devin","Brown",2003
"34",2366,"Mike","Wilks",2003
"35",2253,"Sean","Lampley",2003
"36",2441,"Jamal","Sampson",2003
"37",2405,"Amar'e","Stoudemire",2003
"38",2424,"Dan","Dickau",2003
"39",2423,"Chris","Jefferies",2003
"40",2425,"Robert","Archibald",2003
"41",2446,"Rasual","Butler",2003
"42",2402,"Dajuan","Wagner",2003
"43",2321,"Paul","Shirley",2003
"44",2415,"Ryan","Humphrey",2003
"45",2804,"Andres","Nocioni",2004
"46",2454,"Junior","Harrington",2004
"47",101128,"Francisco","Garcia",2005
"48",2470,"Smush","Parker",2005
"49",2469,"Pat","Burke",2005
"50",101249,"John","Lucas",2005
"51",101139,"CJ","Miles",2005
"52",1766,"Maceo","Baston",2006
"53",200782,"PJ","Tucker",2006
"54",200755,"JJ","Redick",2006
"55",200811,"Louis","Amundson",2006
"56",201146,"Jianlian","Yi",2007
"57",2434,"Juan Carlos","Navarro",2007
"58",201199,"DJ","Strawberry",2007
"59",201228,"CJ","Watson",2007
"60",200799,"Guillermo","Diaz",2007
"61",201591,"DJ","White",2008
"62",200826,"JJ","Barea",2010
"63",201988,"Patty","Mills",2010
"64",201986,"Nando","De Colo",2012
"65",201581,"JJ","Hickson",2012
"66",203543,"Vitor","Faverani",2013
"67",201965,"Jeff","Ayres",2013
"68",203474,"DJ","Stephens",2013
"69",203909,"KJ","McDaniels",2014
"70",203798,"PJ","Hairston",2014
"71",101150,"Lou","Williams",2014
"72",203933,"TJ","Warren",2014
"73",203912,"CJ","Wilcox",2014
"74",203949,"James Michael","McAdoo",2014
"75",201611,"Henry","Walker",2014
"76",2747,"JR","Smith",2015
"77",1626154,"RJ","Hunter",2015
"78",1626245,"Cristiano","Felicio",2015
"79",1626266,"JJ","O'Brien",2015
"80",1627879,"Nicolas","Laprovittola",2016
"81",1627751,"Jakob","Poeltl",2016
"82",1627773,"AJ","Hammons",2016
"83",204002,"Edy","Tavares",2016
"84",1628388,"TJ","Leaf",2017
"85",1629168,"BJ","Johnson",2018
